Comunitat Autònoma,Data,Casos,Hospitalitzats,Uci,Morts,Recuperats
IB,02/20/2020 12:00:00 AM,1,,,,
IB,02/21/2020 12:00:00 AM,1,,,,
IB,02/22/2020 12:00:00 AM,1,,,,
IB,02/23/2020 12:00:00 AM,1,,,,
IB,02/24/2020 12:00:00 AM,1,,,,
IB,02/25/2020 12:00:00 AM,1,,,,
IB,02/26/2020 12:00:00 AM,1,,,,
IB,02/27/2020 12:00:00 AM,1,,,,
IB,02/28/2020 12:00:00 AM,2,,,,
IB,02/29/2020 12:00:00 AM,2,,,,
IB,03/01/2020 12:00:00 AM,2,,,,
IB,03/02/2020 12:00:00 AM,2,,,,
IB,03/03/2020 12:00:00 AM,5,,,,
IB,03/04/2020 12:00:00 AM,6,,,,
IB,03/05/2020 12:00:00 AM,6,,,,
IB,03/06/2020 12:00:00 AM,6,,,,
IB,03/07/2020 12:00:00 AM,8,,,,
IB,03/08/2020 12:00:00 AM,11,,1,0,2
IB,03/09/2020 12:00:00 AM,13,,1,0,3
IB,03/10/2020 12:00:00 AM,16,8,1,0,1
IB,03/11/2020 12:00:00 AM,22,8,2,1,1
IB,03/12/2020 12:00:00 AM,28,9,2,1,1
IB,03/13/2020 12:00:00 AM,28,9,2,1,1
IB,03/14/2020 12:00:00 AM,42,9,2,1,1
IB,03/15/2020 12:00:00 AM,73,21,4,1,1
IB,03/16/2020 12:00:00 AM,92,26,4,1,1
IB,03/17/2020 12:00:00 AM,112,29,4,1,4
IB,03/18/2020 12:00:00 AM,169,31,7,2,6
IB,03/19/2020 12:00:00 AM,203,48,10,2,10
IB,03/20/2020 12:00:00 AM,246,60,14,4,11
IB,03/21/2020 12:00:00 AM,331,79,14,4,17
IB,03/22/2020 12:00:00 AM,400,87,27,10,18
IB,03/23/2020 12:00:00 AM,478,127,35,10,19
IB,03/24/2020 12:00:00 AM,562,164,40,13,28
IB,03/25/2020 12:00:00 AM,660,205,43,17,39
IB,03/26/2020 12:00:00 AM,755,237,46,22,67
IB,03/27/2020 12:00:00 AM,862,283,59,26,80
IB,03/28/2020 12:00:00 AM,958,345,71,29,82
IB,03/29/2020 12:00:00 AM,"1,000",353,80,37,100
IB,03/30/2020 12:00:00 AM,"1,069",399,85,42,111
IB,03/31/2020 12:00:00 AM,"1,131",468,95,46,170
IB,04/01/2020 12:00:00 AM,"1,204",517,105,58,239
IB,04/02/2020 12:00:00 AM,"1,257",587,112,69,375
IB,04/03/2020 12:00:00 AM,"1,271",634,114,71,422
IB,04/04/2020 12:00:00 AM,"1,293",664,120,75,461
IB,04/05/2020 12:00:00 AM,"1,320",683,121,81,531
IB,04/06/2020 12:00:00 AM,"1,369",705,124,84,537
IB,04/07/2020 12:00:00 AM,"1,412",731,129,89,616
IB,04/08/2020 12:00:00 AM,"1,448",751,132,89,696
IB,04/09/2020 12:00:00 AM,"1,488",777,136,97,737
IB,04/10/2020 12:00:00 AM,"1,507",778,137,102,757
IB,04/11/2020 12:00:00 AM,"1,534",805,142,112,848
IB,04/12/2020 12:00:00 AM,"1,550",811,143,117,862
IB,04/13/2020 12:00:00 AM,"1,571",826,145,118,871
IB,04/14/2020 12:00:00 AM,"1,606",857,149,125,881
IB,04/15/2020 12:00:00 AM,"1,637",872,152,131,918
IB,04/16/2020 12:00:00 AM,"1,668",905,152,134,938
IB,04/17/2020 12:00:00 AM,,937,157,148,958
IB,04/18/2020 12:00:00 AM,,955,160,155,993
IB,04/19/2020 12:00:00 AM,,963,161,157,1005
IB,04/20/2020 12:00:00 AM,,986,161,161,1005
IB,04/21/2020 12:00:00 AM,,1005,166,164,1017
IB,04/22/2020 12:00:00 AM,,1022,167,168,1047
IB,04/23/2020 12:00:00 AM,,1040,166,172,1081
IB,04/24/2020 12:00:00 AM,,1058,166,174,1102
IB,04/25/2020 12:00:00 AM,,1062,166,175,1123
