"País" "Latitud" "Població" "Temp0314" "Temp0321" "Temp0327" "Casos0327"
"Afghanistan" 33.93 38.928341 13.46 14.99 15.95 80
"Albania" 41.15 2.8778 8.77 13.09 10.26 186
"Algeria" 28.13 43.851043 22.06 23.94 25.14 305
"Angola" -11.21 32.866268 26.37 25.41 25.96 2
"Antigua_and_Barbuda" 17.34 0.097928 31.8 34.1 35.55 3
"Argentina" -38.48 45.195777 23.48 20.78 20.23 502
"Armenia" 40.07 2.963234 10.02 14.16 12.01 329
"Aruba" 12.49 0.106766 34.59 36.02 36.85 19
"Australia" -32.21 25.499881 27.28 26.1 22.68 2985
"Austria" 47.7 9.0064 2.17 7.23 6 7029
"Azerbaijan" 40.17 10.139175 10.02 14.16 12.01 122
"Bahamas" 24.09 0.393248 27.14 29.36 30.52 5
"Bahrain" 26.11 1.701583 25.59 28.04 28.31 458
"Bangladesh" 23.51 164.689383 27.44 29.65 30.84 48
"Barbados" 13.19 0.287371 34.16 35.7 36.57 18
"Belarus" 53.71 9.449321 -0.38 1.85 2.78 86
"Belgium" 50.52 11.589616 0.74 3.61 3.97 6235
"Belize" 17.19 0.397621 31.83 34.1 35.42 2
"Benin" 9.22 12.123198 34.7 34.68 33.62 6
"Bermuda" 32.32 0.062273 15.85 17.74 18.62 7
"Bhutan" 27.47 0.771612 22.96 24.97 25.85 3
"Bolivia_(Plurinational_State_of)" -16.28 11.673029 29.31 29.28 31.99 39
"Bosnia_and_Herzegovina" 43.92 3.280815 5.37 10.89 7.69 213
"Brazil" -14.29 212.559409 29.02 27.85 28.43 2433
"Brunei_Darussalam" 4.55 0.437483 35.16 32.56 32.09 114
"Bulgaria" 42.73 6.948445 6.13 11.47 8.2 264
"Burkina_Faso" 12.25 20.903278 34.77 36.02 36.86 146
"Cabo_Verde" 16 0.555988 32.24 34.59 35.67 3
"Cambodia" 12.08 16.718971 34.77 36.02 36.86 98
"Cameroon" 7.37 26.545864 34.85 34.23 32.89 75
"Canada" 41.68 37.742157 7.93 12.34 9.3 3555
"Cayman_Islands" 19.51 0.06572 30.61 32.97 34.66 8
"Central_African_Republic" 6.61 4.829764 34.7 33.17 32.23 5
"Chad" 15.47 16.425859 32.07 34.7 35.41 5
"Chile" -37.11 19.116209 22.63 19.99 19.19 1306
"China" 31.2 1439.323774 18 19.89 21.01 82078
"Colombia" 5.91 50.882884 35.13 32.99 32.3 470
"Congo" -0.72 5.518092 31.36 30.16 30.7 4
"Costa_Rica" 8.28 5.094114 34.91 34.83 33.57 201
"Côte_d’Ivoire" 7.45 26.378275 34.85 34.23 32.89 80
"Croatia" 44.37 4.105268 4.94 10.52 7.59 495
"Cuba" 21.55 11.326616 28.73 31.18 32.6 67
"Curaçao" 12.17 0.1641 34.77 36.02 36.86 7
"Cyprus" 35.18 1.207361 12.2 14.22 14.36 146
"Czechia" 49.8 10.708982 0.86 4.15 4.27 2062
"Democratic_Republic_of_the_Congo" -4.03 89.561404 30 29.62 30.45 54
"Denmark" 56.2 5.792203 -2.4 0.89 2.16 1877
"Djibouti" 11.85 0.988002 34.77 36.02 36.86 12
"Dominica" 15.4 0.071991 32.07 34.7 35.41 11
"Dominican_Republic" 19.29 10.847904 30.61 32.97 34.66 488
"Ecuador" -1.57 17.64306 30.73 29.73 30.84 1211
"Egypt" 26.92 102.334403 23.98 26.07 26.82 495
"El_Salvador" 13.71 6.486201 33.63 35.43 36.17 13
"Equatorial_Guinea" 1.16 1.402985 32.37 30.98 30.35 6
"Eritrea" 15.21 3.546427 31.9 34.52 35.03 6
"Estonia" 58.72 1.326539 -3.85 0.22 1.97 538
"Eswatini" 26.52 1.160164 24.97 27.33 27.81 6
"Ethiopia" 9.15 114.963583 34.7 34.68 33.62 12
"Fiji" -17.1 0.896444 29.47 29.07 32.04 5
"Finland" 59.45 5.540718 -5.04 -0.76 1.11 958
"France" 46.27 65.273512 2.94 8.46 6.59 28786
"French_Guiana" 3.93 0.298682 34.72 32.13 31.68 28
"French_Polynesia" -17.88 0.280904 29.64 28.74 31.97 30
"Gabon" -0.89 2.225728 31.09 30.05 30.8 6
"Gambia" 13.44 2.416664 33.63 35.43 36.17 2
"Georgia" 42.32 3.989175 6.13 11.47 8.2 81
"Germany" 51.18 83.783945 0.69 3.28 3.85 42288
"Ghana" 7.86 31.072945 34.96 34.68 33.39 132
"Greece" 38.22 10.423056 10.87 13.75 13.98 892
"Greenland" 59.52 0.056772 -5.04 -0.76 1.11 6
"Grenada" 12.19 0.112519 34.77 36.02 36.86 7
"Guadeloupe" 16.17 0.400127 32.24 34.59 35.67 76
"Guam" 13.44 0.168783 33.63 35.43 36.17 45
"Guatemala" 15.73 17.915567 32.07 34.7 35.41 24
"Guinea" 9.93 13.132792 34.48 34.96 34.75 5
"Guyana" 4.89 0.786559 35.25 32.83 32.25 5
"Haiti" 19.06 11.402533 30.85 33.3 35.01 8
"Honduras" 15.3 9.904608 32.07 34.7 35.41 52
"Hungary" 47.16 9.66035 2.45 7.78 6.21 300
"India" 21.11 1380.004385 29.26 31.99 33.21 724
"Indonesia" -2.47 273.523621 30.42 29.45 30.81 893
"Iran_(Islamic_Republic_of)" 32.31 83.992953 15.85 17.74 18.62 29406
"Iraq" 33.22 40.222503 14.88 16.63 17.69 382
"Ireland" 53.43 4.937796 -0.38 1.85 2.78 1819
"Isle_of_Man" 54.24 0.085032 -0.82 1.43 2.36 26
"Israel" 31.39 8.655541 17.51 19.56 20.41 3035
"Italy" 41.19 60.461828 8.77 13.09 10.26 80539
"Jamaica" 17.66 2.961161 31.8 34.1 35.55 26
"Japan" 32.96 126.476458 14.88 16.63 17.69 1387
"Jordan" 31.28 10.20314 17.51 19.56 20.41 212
"Kazakhstan" 48.01 18.776707 1.82 6.53 5.68 125
"Kenya" -0.14 53.7713 31.76 30.53 30.59 25
"Kuwait" 29.31 4.270563 19.55 21.51 22.82 208
"Kyrgyzstan" 41.22 6.524191 8.77 13.09 10.26 58
"Lao_People's_Democratic_Republic" 18.21 7.275556 31.49 33.83 35.4 6
"Latvia" 56.88 1.886202 -2.92 0.74 2.38 244
"Lebanon" 33.87 6.825442 13.46 14.99 15.95 368
"Liberia" 6.35 5.057677 34.7 33.17 32.23 3
"Libya" 26.43 6.871287 24.97 27.33 27.81 1
"Lithuania" 55.17 2.722291 -1.47 0.96 1.91 299
"Madagascar" -18.78 27.691019 29.9 28.86 32.13 24
"Malaysia" 2.39 32.365998 33.39 31.43 30.83 2031
"Maldives" 3.2 0.540542 33.99 31.75 31.13 13
"Malta" 35.94 0.441539 12.01 14.34 14.17 134
"Martinique" 14.64 0.375265 32.36 34.74 35.3 66
"Mauritania" 21.02 4.64966 29.26 31.99 33.21 3
"Mauritius" -15.43 1.271767 28.68 28.76 29.99 81
"Mayotte" -12.83 0.272813 28.23 26.51 26.8 50
"Mexico" 23.55 128.932753 27.44 29.65 30.84 478
"Monaco" 43.74 0.039244 5.78 11.25 7.88 19
"Mongolia" 46.86 3.278292 2.45 7.78 6.21 11
"Montenegro" 42.65 0.628062 6.13 11.47 8.2 67
"Montserrat" 16.75 0.004999 31.98 34.36 35.64 2
"Morocco" 28.69 36.910558 20.92 22.95 24.27 275
"Mozambique" -18.62 31.255435 29.82 28.66 31.87 5
"Myanmar" 18.99 54.409794 30.85 33.3 35.01 5
"Namibia" -22.97 2.540916 32.9 34.02 34.88 8
"Nepal" 28.4 29.136808 20.92 22.95 24.27 3
"Netherlands" 52.23 17.134873 0.6 3.08 3.63 7431
"New_Caledonia" -20.45 0.285491 30.87 30.92 33.39 14
"New_Zealand" -40.93 4.822233 22.45 20.87 19.14 338
"Nicaragua" 12.87 6.624554 34.16 35.7 36.57 2
"Niger" 17.61 24.206636 31.8 34.1 35.55 10
"Nigeria" 8.98 206.139587 34.7 34.68 33.62 65
"North_Macedonia" 41.61 2.08338 7.93 12.34 9.3 201
"Norway" 57.76 5.421242 -3.65 0.43 2.06 3156
"Oman" 21.58 5.106622 28.73 31.18 32.6 109
"Pakistan" 30.31 220.892331 18.59 20.31 21.58 1057
"Panama" 8.45 4.314768 34.91 34.83 33.57 558
"Papua_New_Guinea" -5.68 8.947027 30.1 29.79 30.95 1
