"Treatment" "Before" "After" "Compliance" "Percent"
"Washing" 221 71 0 67.9
"Washing" 354 84 1 76.3
"Washing" 292 39 1 86.6
"Washing" 91 28 0 69.2
"Washing" 147 42 0 71.4
"Washing" 112 10 0 91.1
"Washing" 417 61 1 85.4
"Washing" 518 156 1 69.9
"Washing" 0 0 0 100
"Washing" 520 196 1 62.3
"Washing" 214 68 1 68.2
"Washing" 842 220 1 73.9
"Washing" 595 213 1 64.2
"Washing" 88 30 1 65.9
"Washing" 78 31 0 60.3
"Washing" 227 56 1 75.3
"Washing" 0 0 0 100
"Washing" 238 64 1 73.1
"Washing" 405 215 1 46.9
"Washing" 264 80 1 69.7
"Washing" 209 75 1 64.1
"Washing" 63 12 1 81
"Washing" 229 68 0 70.3
"Washing" 294 116 1 60.5
"Washing" 432 80 1 81.5
"Washing" 66 20 1 69.7
"Washing" 392 62 1 84.2
"Washing" 55 16 0 70.9
"Washing" 0 0 0 100
"Washing" 316 67 1 78.8
"Washing" 118 17 1 85.6
"Washing" 376 80 1 78.7
"Washing" 246 58 1 76.4
"Washing" 32 12 0 62.5
"Washing" 380 129 1 66.1
"Washing" 0 0 0 100
"Washing" 454 142 1 68.7
"Washing" 0 0 0 100
"Washing" 709 176 1 75.2
"Washing" 132 13 1 90.2
"Washing" 51 25 0 51
"Washing" 487 239 1 50.9
"Washing" 356 149 1 58.1
"Washing" 90 23 0 74.4
"Washing" 369 134 1 63.7
"Washing" 69 24 0 65.2
"Washing" 16 6 0 62.5
"Washing" 480 73 1 84.8
"Washing" 139 51 1 63.3
"Washing" 322 85 1 73.6
"Washing" 282 98 1 65.2
"Washing" 317 38 1 88
"Washing" 193 70 0 63.7
"Washing" 87 17 0 80.5
"Washing" 115 17 0 85.2
"Rubbing" 462 236 1 48.9
"Rubbing" 479 208 1 56.6
"Rubbing" 760 133 1 82.5
"Rubbing" 37 0 0 100
"Rubbing" 360 110 1 69.4
"Rubbing" 716 173 1 75.8
"Rubbing" 487 0 1 100
"Rubbing" 809 130 1 83.9
"Rubbing" 355 198 1 44.2
"Rubbing" 593 0 1 100
"Rubbing" 207 21 0 89.9
"Rubbing" 437 85 1 80.5
"Rubbing" 222 102 0 54.1
"Rubbing" 0 0 0 100
"Rubbing" 148 25 0 83.1
"Rubbing" 0 0 1 100
"Rubbing" 9 1 1 88.9
"Rubbing" 0 0 1 100
"Rubbing" 452 0 1 100
"Rubbing" 350 69 1 80.3
"Rubbing" 210 54 0 74.3
"Rubbing" 302 46 1 84.8
"Rubbing" 830 0 1 100
"Rubbing" 2 1 0 50
"Rubbing" 338 0 1 100
"Rubbing" 346 0 1 100
"Rubbing" 0 0 1 100
"Rubbing" 466 2 1 99.6
"Rubbing" 558 0 1 100
"Rubbing" 788 0 1 100
"Rubbing" 791 0 1 100
"Rubbing" 253 107 1 57.7
"Rubbing" 11 6 0 45.5
"Rubbing" 316 27 1 91.5
"Rubbing" 225 35 1 84.4
"Rubbing" 36 13 0 63.9
"Rubbing" 211 15 0 92.9
"Rubbing" 335 69 1 79.4
"Rubbing" 0 0 0 100
"Rubbing" 239 50 0 79.1
"Rubbing" 450 49 1 89.1
"Rubbing" 547 0 1 100
"Rubbing" 79 0 1 100
"Rubbing" 0 0 0 100
"Rubbing" 249 5 1 98
"Rubbing" 724 151 1 79.1
"Rubbing" 532 72 1 86.5
"Rubbing" 426 181 1 57.5
"Rubbing" 362 0 1 100
"Rubbing" 667 0 1 100
"Rubbing" 494 83 1 83.2
"Rubbing" 70 26 0 62.9
"Rubbing" 0 0 0 100
"Rubbing" 166 54 0 67.5
"Rubbing" 293 83 1 71.7
"Rubbing" 188 45 1 76.1
"Rubbing" 665 188 1 71.7
"Rubbing" 49 7 0 85.7
"Rubbing" 0 0 1 100
