"Grup" "Faltava" "Durada" "Nota" "Casa3a" "Tipus"
1 61.6 5.9 7.5 7.8 "A"
1 61.6 6 7.5 9 "A"
1 83.4 7 5 8 "A"
1 59.5 7.3 9.17 8 "A"
1 61.6 5.9 7.5 7.8 "A"
1 61.6 6 7.5 9 "A"
1 29.5 5.3 5.83 5 "B"
1 31 6.9 10 6.6 "B"
1 26.6 3.4 7.5 7.3 "B"
1 29.5 5.3 5.83 5 "B"
1 32.3 2.1 9.17 10 "B"
1 26.6 3.4 7.5 7.3 "B"
1 2.9 6.2 5 4 "C"
1 2.9 6.2 6.67 4 "C"
1 1.7 9.7 8.33 6 "C"
1 2.2 7.2 8.33 6 "C"
1 5.7 4.6 6.67 10 "C"
1 0.7 3.7 6.67 3 "C"
2 49 5 5.83 6.1 "A"
2 49 5 5.83 6.1 "A"
2 52.5 3.1 6.67 6.6 "A"
2 60.4 2.1 5 7.3 "A"
2 52.5 3.1 6.67 6.6 "A"
2 49 5 5.83 6.1 "A"
2 14.5 9.9 7.5 5.5 "B"
2 14.5 9.9 7.5 5.5 "B"
2 14.5 9.9 7.5 5.5 "B"
2 12.6 3 5.83 5.5 "B"
2 12.3 7.8 8.33 3.5 "B"
2 11.7 4.8 6.67 1 "C"
2 2.6 8.1 5 2 "C"
2 3.9 4.3 9.17 8.5 "C"
2 1.4 9.8 5 2.5 "C"
2 6.3 2.5 9.17 5 "C"
2 4.3 10 7.5 3.3 "C"
2 3.3 4.6 5 2 "C"
3 125.4 8 5 8 "A"
3 99.7 6.6 5.83 5 "A"
3 99.7 6.6 5.83 5 "A"
3 99.7 6.6 5.83 5 "A"
3 77.5 3.1 5 2.5 "A"
3 100.4 7.2 6.67 9.3 "A"
3 36.5 6 10 8.5 "B"
3 10.4 10 9.17 10 "C"
3 15.4 9.8 8.33 6.5 "B"
3 28.6 6.5 10 6.5 "B"
3 11.9 3.9 6.67 7.3 "C"
3 28.6 5.9 8.33 6.5 "B"
3 3.8 10 9.17 8 "C"
3 5.2 5.8 8.33 9.4 "C"
3 2.8 4.4 7.5 5.8 "C"
3 2.8 4.4 7.5 5.8 "C"
3 3.8 10 9.17 8 "C"
3 2.8 9.8 8.33 8.3 "C"
