Grup Casa1 Casa2Test Casa2Ex Taller3 Taller7 Xuleta
3 NA 7.8 64 NA 0 1
3 65 6.7 75 7 8.5 0
3 60 5.8 61 5.8 3.5 1
3 23 2.2 64 5 0 0
3 58 5.1 55 5.8 3.5 0
1 19 4.4 NA 0.5 NA 0
3 85.5 7.8 93 5.3 8 0
1 72 4.4 43 3 7.5 0
3 52.5 5.6 57 5.8 3.5 0
3 81 7.6 75 8 4 1
1 56 6.7 71 6 6 1
3 55 3.3 54 6.5 6.5 1
3 60 5.3 55 5.8 7 0
3 42.5 5.6 50 6 6.5 0
3 75 6.7 75 6 4.5 1
3 100 2.6 21 5.5 4 0
3 63 4.4 68 5 2.3 0
1 61 8.7 86 NA 6 0
3 90 6.7 77 7 2.5 0
3 65 4.4 46 7 6.5 0
3 55 5.3 55 6 1.5 0
3 33 2.4 40 6 1.5 0
1 83 7 71 1 7 0
3 34 3.1 50 8 8.5 0
3 NA NA NA 8 4.5 0
1 78 6.4 61 NA 8.5 1
1 83 7.8 71 4.5 8.5 0
1 NA 4.8 54 NA 9 1
1 75 7.6 93 5.5 9 0
3 NA 7.2 71 8.3 7 1
3 61.5 1.3 50 5.8 1 0
3 48 5.6 46 6 5.5 0
3 NA 7.6 71 6.8 3.8 1
3 NA NA NA 8 4.5 0
1 NA NA NA 3 8 0
1 83 6.7 61 4 9 1
3 28 7.8 46 NA NA 0
3 77.5 7.4 86 5.3 10 1
3 70 5.6 57 NA 0 1
3 87.5 5.6 71 8.3 9.3 0
3 72.5 6.4 66 5.8 3.5 0
1 44 7.2 75 3 7.5 0
1 64 8.7 79 NA 6 0
3 92.5 5.6 77 5 10 0
1 53 5.6 68 8 3 0
1 NA NA 57 2 NA 0
3 60 3.3 79 NA 1 0
1 72 7.8 86 4.5 8.5 1
1 42 6.4 44 0 1.5 1
1 67 7.2 89 3.5 2 0
1 44 2.4 50 3.5 NA 0
1 83 6.7 79 4 8.5 1
1 97 5 64 4 9 1
1 72 6.7 54 4 8.5 1
1 6 5.7 21 3.5 5 0
1 47 5.6 NA 5.5 2 0
3 60 2.8 63 6.5 6.5 0
1 69 7.2 86 3.5 2 0
1 53 6.7 75 1 4 1
1 42 4.4 36 3 3 0
1 56 7.6 54 6 5 1
3 85 8.7 84 7.3 6 0
1 28 3.3 29 3 3 0
1 78 4.4 61 5 9 1
1 44 6.7 71 2 2 0
1 53 7.8 54 0 0.5 0
3 67.5 2.2 79 5.5 4 0
3 70 5.6 75 5.3 8 0
3 80 4.2 64 5.3 7 0
3 92.5 7.2 91 8 4 1
3 63 3.5 61 2.8 6 0
3 90 7.5 88 5 10 1
1 61 8.7 75 3 8 0
3 65 5.6 0 1.8 0 0
1 50 6.4 54 3 8 0
3 65 6.7 86 NA 9.6 0
3 72.5 8.9 84 1.8 9.6 0
3 60 2.8 71 NA 6.5 1
3 NA NA NA 7 NA 0
3 90 4.4 71 2.8 9.3 0
3 47.5 4.6 45 5.5 9 0
3 5.3 3.3 38 3.8 0.5 0
3 NA NA NA 5.5 NA 0
3 68 5.3 71 NA 3.5 0
1 67 6.7 75 NA 3.5 0
3 63 2.4 71 7.3 4.5 0
1 100 8.3 71 6.5 4 1
3 55 5.3 61 5.8 7 1
3 47.5 5.6 75 6 6.5 0
3 75 7.8 86 7.3 4.5 1
1 78 5.6 64 5 9 1
1 94 8.3 54 6 6.5 0
3 60 6.7 71 6 5.5 1
1 6 3.3 NA 6.5 NA 0
3 76 7.8 68 5.3 10 0
3 51 5.6 39 3.8 0.5 0
1 22 4.4 61 NA 4.5 0
3 73 5.5 73 7.3 6 0
3 52.5 7.8 41 5.5 3.8 0
3 40 5.6 80 7 8.5 1
3 75 4.6 61 5.5 9 1
1 36 5.3 14 NA 2 0
3 NA NA NA 5.5 NA 0
3 97.5 8.7 88 8 8.5 0
1 53 2.6 21 0.5 5 0
3 65 5.7 75 5.8 NA 0
3 97.5 6.4 66 6 4.5 1
1 25 6.2 61 6 6.5 0
3 87.5 7.5 86 NA 3.5 0
1 50 4.4 43 8 3 0
1 NA 7.3 68 5.5 2 0
3 60 6.7 27 5.3 6 0
