"Taller3" "Taller7" "Grup"
NA 8.5 1
NA 6 1
NA 6 1
NA 3.5 1
NA 9 1
NA 4.5 1
NA 2 1
NA 0.5 2
NA 2.5 2
NA 4 2
NA 1 2
NA 0.5 2
NA 2 2
NA 3.5 3
NA 6.5 3
NA 0 3
NA 9.6 3
NA 0 3
NA 3.5 3
NA 1 3
8.6 2 2
8.5 6.5 2
8.5 NA 2
8.3 7 3
8.3 9.3 3
8 3 1
8 3 1
8 8.5 3
8 4.5 3
8 4.5 3
8 4 3
8 4 3
8 8.5 3
7.5 6 2
7.5 4 2
7.3 4.5 3
7.3 4.5 3
7.3 6 3
7.3 6 3
7 1.5 2
7 6.5 2
7 4 2
7 8.5 3
7 NA 3
7 6.5 3
7 8.5 3
7 2.5 3
6.8 7.8 2
6.8 7.8 3
6.5 NA 1
6.5 4 1
6.5 6.5 3
6.5 6.5 3
6.3 NA 2
6.3 1 2
6 5 1
6 6.5 1
6 6.5 1
6 6 1
6 6 2
6 8 2
6 6 2
6 5.5 3
6 1.5 3
6 5.5 3
6 1.5 3
6 6.5 3
6 4.5 3
6 4.5 3
6 6.5 3
5.8 1 2
5.8 3 2
5.8 3.5 3
5.8 1 3
5.8 NA 3
5.8 3.5 3
5.8 7 3
5.8 7 3
5.8 3.5 3
5.8 3.5 3
5.5 2 1
5.5 9 1
5.5 2 1
5.5 2.5 2
5.5 2 2
5.5 1 2
5.5 9 3
5.5 3.8 3
5.5 NA 3
5.5 4 3
5.5 9 3
5.5 NA 3
5.5 4 3
5.3 7 3
5.3 8 3
5.3 10 3
5.3 10 3
5.3 8 3
5.3 6 3
5 9 1
5 9 1
5 6.8 2
5 4.5 2
5 4.5 2
5 8 2
5 0.5 2
5 8 2
5 10 3
5 10 3
5 2.3 3
5 0 3
4.8 1.5 2
4.8 1 2
4.5 8.5 1
4.5 8.5 1
4.5 4 2
4.5 4 2
4.5 NA 2
4.5 NA 2
4.5 1.5 2
4.3 NA 2
4.3 NA 2
4.3 2 2
4 8.5 1
4 9 1
4 9 1
4 8.5 1
4 NA 2
4 NA 2
4 5 2
3.8 0.5 3
3.8 0.5 3
3.5 2 1
3.5 5 1
3.5 2 1
3.5 NA 1
3.5 NA 2
3.5 NA 2
3.5 4 2
3.5 10 2
3.5 NA 2
3.5 10 2
3.5 6.8 2
3.5 NA 2
3.3 0.8 2
3.3 NA 2
3.3 NA 2
3.3 1.3 2
3 3 1
3 8 1
3 8 1
3 7.5 1
3 7.5 1
3 8 1
3 3 1
3 8 2
3 NA 2
3 NA 2
3 NA 2
3 NA 2
3 NA 2
2.8 6 3
2.8 9.3 3
2.5 NA 2
2.5 NA 2
2.5 0.5 2
2.5 NA 2
2.5 1 2
2.3 0.8 2
2.3 1.3 2
2 NA 1
2 2 1
2 4 2
2 1 2
1.8 0 3
1.8 9.6 3
1.5 NA 2
1.5 NA 2
1 7 1
1 4 1
0.5 NA 1
0.5 5 1
0 NA 1
0 1.5 1
0 0.5 1
0 1.5 2
