"Grup" "R" "Global"
"BQ" 0 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLM" 5.04 "SUSPENS"
"BLM" 3.9 "SUSPENS"
"BLM" 9.25 "APROVAT"
"BLT" 5.25 "SUSPENS"
"BQ" 0 "NO PRESENTAT"
"BLM" 0 "NO PRESENTAT"
"BLT" 6.18 "APROVAT"
"BLT" 6.36 "APROVAT"
"BLT" 4.39 "SUSPENS"
"BLT" 4.99 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLM" 3.83 "APROVAT"
"BLT" 6.48 "APROVAT"
"BQ" 0 "NO PRESENTAT"
"BQ" 2 "SUSPENS"
"BLT" 2.73 "SUSPENS"
"BQ" 3.53 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLM" 0 "SUSPENS"
"BLM" 6.34 "APROVAT"
"BQ" 3.83 "SUSPENS"
"BQ" 4.67 "APROVAT"
"BLT" 0 "SUSPENS"
"BLM" 7.5 "APROVAT"
"BQ" 0 "SUSPENS"
"BLM" 5.51 "SUSPENS"
"BLM" 7.25 "SUSPENS"
"BLM" 3 "APROVAT"
"BLM" 4.91 "SUSPENS"
"BLT" 0.25 "NO PRESENTAT"
"BQ" 3.96 "SUSPENS"
"BLM" 3 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BLM" 4.15 "SUSPENS"
"BQ" 4.28 "APROVAT"
"BLT" 0 "NO PRESENTAT"
"BLT" 4.09 "SUSPENS"
"BLT" 6.28 "APROVAT"
"BLT" 5.75 "APROVAT"
"BQ" 2.12 "SUSPENS"
"BQ" 3.5 "SUSPENS"
"BLT" 0 "SUSPENS"
"BQ" 5.93 "SUSPENS"
"BLM" 4.36 "SUSPENS"
"BQ" 2.62 "SUSPENS"
"BQ" 2.5 "SUSPENS"
"BLT" 5.78 "SUSPENS"
"BQ" 0 "NO PRESENTAT"
"BLT" 0 "NO PRESENTAT"
"BQ" 5.84 "APROVAT"
"BQ" 4.32 "SUSPENS"
"BLT" 4.5 "SUSPENS"
"BLT" 4 "SUSPENS"
"BQ" 4.75 "SUSPENS"
"BLT" 5.75 "SUSPENS"
"BQ" 3.98 "SUSPENS"
"BQ" 1.32 "SUSPENS"
"BLM" 3.23 "SUSPENS"
"BLM" 3.76 "SUSPENS"
"BLT" 5.8 "SUSPENS"
"BLM" 2.93 "SUSPENS"
"BLM" 0 "SUSPENS"
"BQ" 0 "SUSPENS"
"BQ" 3.11 "SUSPENS"
"BLM" 4 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BLM" 0 "SUSPENS"
"BLT" 2.15 "SUSPENS"
"BLT" 0.5 "SUSPENS"
"BQ" 1 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BQ" 5.61 "APROVAT"
"BLT" 6.29 "SUSPENS"
"BQ" 4.19 "SUSPENS"
"BQ" 1 "SUSPENS"
"BLT" 3.06 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 1.64 "SUSPENS"
"BLT" 4.67 "SUSPENS"
"BLT" 5.31 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLM" 3.72 "APROVAT"
"BLM" 5 "APROVAT"
"BQ" 2 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BQ" 4 "APROVAT"
"BQ" 1.77 "SUSPENS"
"BQ" 0 "SUSPENS"
"BQ" 2.89 "SUSPENS"
"BQ" 6.69 "NOTABLE"
"BLM" 0 "NO PRESENTAT"
"BLT" 0 "SUSPENS"
"BLM" 3.53 "SUSPENS"
"BQ" 2.5 "SUSPENS"
"BLM" 1.5 "SUSPENS"
"BLM" 0 "SUSPENS"
"BLM" 3.42 "SUSPENS"
"BQ" 3.18 "SUSPENS"
"BLT" 5.33 "SUSPENS"
"BQ" 2 "SUSPENS"
"BLT" 3.3 "SUSPENS"
"BLT" 4.25 "SUSPENS"
"BLM" 0 "SUSPENS"
"BLM" 0 "SUSPENS"
"BLM" 5.41 "SUSPENS"
"BLT" 1.18 "SUSPENS"
"BLT" 1.79 "SUSPENS"
"BLT" 3.5 "SUSPENS"
"BLM" 3.48 "SUSPENS"
"BLM" 5.91 "APROVAT"
"BLT" 2.75 "SUSPENS"
"BQ" 3.9 "SUSPENS"
"BLT" 4 "SUSPENS"
"BQ" 5.47 "APROVAT"
"BLM" 0 "NO PRESENTAT"
"BQ" 0 "NO PRESENTAT"
"BQ" 5.4 "APROVAT"
"BLM" 3.8 "SUSPENS"
"BLT" 6.4 "APROVAT"
"BQ" 6.07 "SUSPENS"
"BLM" 3.38 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BLM" 3.39 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BLT" 2.25 "SUSPENS"
"BQ" 4.98 "SUSPENS"
"BQ" 5.76 "SUSPENS"
"BLM" 5.18 "APROVAT"
"BLT" 2.68 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLT" 4.08 "SUSPENS"
"BLT" 4.24 "SUSPENS"
"BQ" 1.76 "SUSPENS"
"BLT" 0 "SUSPENS"
"BQ" 5.35 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLT" 3 "SUSPENS"
"BLT" 4.75 "SUSPENS"
"BQ" 1.25 "SUSPENS"
"BLM" 8 "SUSPENS"
"BLT" 4.64 "SUSPENS"
"BQ" 6.83 "APROVAT"
"BLM" 6 "SUSPENS"
"BLM" 0 "SUSPENS"
"BLT" 5.7 "SUSPENS"
"BQ" 0.5 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLT" 4.32 "SUSPENS"
"BLT" 4.14 "SUSPENS"
"BLT" 4.25 "SUSPENS"
"BLT" 5.79 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLM" 3.18 "SUSPENS"
"BLT" 3.25 "SUSPENS"
"BQ" 0 "NO PRESENTAT"
"BQ" 9.75 "MATRICULA D'HONOR"
"BLM" 0 "SUSPENS"
"BLM" 3.25 "SUSPENS"
"BLT" 3.06 "SUSPENS"
"BQ" 0 "SUSPENS"
"BQ" 6.63 "NOTABLE"
"BQ" 4.31 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BLT" 1.75 "SUSPENS"
"BLM" 5.1 "APROVAT"
"BLT" 5.41 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLM" 5.13 "APROVAT"
"BLM" 6.36 "SUSPENS"
"BLM" 6.02 "SUSPENS"
"BQ" 2.45 "SUSPENS"
"BLM" 5.62 "SUSPENS"
"BQ" 2.25 "SUSPENS"
"BLM" 2.62 "SUSPENS"
"BLM" 6.85 "NOTABLE"
"BLM" 2.91 "SUSPENS"
"BLM" 2.47 "SUSPENS"
"BLT" 3.55 "SUSPENS"
"BLM" 5.63 "APROVAT"
"BLT" 5.34 "SUSPENS"
"BLT" 1 "SUSPENS"
"BLM" 6.55 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 1.5 "SUSPENS"
"BLT" 0 "SUSPENS"
"BQ" 6.62 "SUSPENS"
"BLT" 5.75 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLM" 1.5 "SUSPENS"
"BQ" 3.25 "APROVAT"
"BLT" 0 "NO PRESENTAT"
"BLM" 3.21 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 2.76 "SUSPENS"
"BQ" 5.77 "APROVAT"
"BLT" 4.19 "SUSPENS"
"BLT" 2.75 "SUSPENS"
"BLT" 4.82 "SUSPENS"
"BLT" 7.08 "APROVAT"
"BLT" 0 "SUSPENS"
"BLT" 0 "NO PRESENTAT"
"BQ" 1.75 "SUSPENS"
"BQ" 4.04 "SUSPENS"
"BLT" 6.46 "APROVAT"
"BLT" 4 "SUSPENS"
"BLT" 4.21 "SUSPENS"
"BLT" 5.26 "SUSPENS"
"BQ" 1.75 "SUSPENS"
"BLM" 0 "SUSPENS"
"BQ" 0 "SUSPENS"
"BLT" 0 "SUSPENS"
"BLT" 0 "SUSPENS"
"BQ" 0 "NO PRESENTAT"
"BLT" 0 "SUSPENS"
"BLM" 4.89 "SUSPENS"
